,Bacteria,Drug,reference,time (hr),MDR,Phylum,Class,Order,Family,Genus,bac_type,gram,"min_Incub_period, h","growth_temp, C",isolated_from,MaxAbsEStateIndex,MinEStateIndex,MolWt,PEOE_VSA11,PEOE_VSA13,PEOE_VSA8,SMR_VSA2,SMR_VSA9,MIC_drug_log
89,Escherichia coli,Levofloxacin,http://www.nanomedicine-rj.com/article_38645.html,24,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,pathogenic,n,48,37,urine,14.98365316,-1.315329409,361.373,11.56673267,0,32.3758692,0,5.749511833,0.693147181
90,Vibrio cholerae,Levofloxacin,http://www.nanomedicine-rj.com/article_38645.html,24,0,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,pathogenic,n,48,30,water,14.98365316,-1.315329409,361.373,11.56673267,0,32.3758692,0,5.749511833,2.079441542
91,Enterococcus faecalis,Levofloxacin,http://www.nanomedicine-rj.com/article_38645.html,24,0,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,pathogenic,p,24,37,urine,14.98365316,-1.315329409,361.373,11.56673267,0,32.3758692,0,5.749511833,2.079441542
92,Staphylococcus aureus,Levofloxacin,http://www.nanomedicine-rj.com/article_38645.html,24,0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,pathogenic,p,24,37,skin,14.98365316,-1.315329409,361.373,11.56673267,0,32.3758692,0,5.749511833,0
93,Salmonella typhi,Levofloxacin,http://www.nanomedicine-rj.com/article_38645.html,24,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,pathogenic,n,168,37,blood,14.98365316,-1.315329409,361.373,11.56673267,0,32.3758692,0,5.749511833,0
94,Proteus vulgaris,Levofloxacin,http://www.nanomedicine-rj.com/article_38645.html,24,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,opportunistic pathogen,n,24,30,soil,14.98365316,-1.315329409,361.373,11.56673267,0,32.3758692,0,5.749511833,3.465735903
95,Escherichia coli,Ampicillin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9495250/,18,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,pathogenic,n,48,37,urine,12.33417297,-1.033228263,349.412,0,0,4.747022453,0,0,0.693147181
96,Klebsiella pneumoniae,Ampicillin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9495250/,18,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,opportunistic pathogen,n,24,30,respiratory tract,12.33417297,-1.033228263,349.412,0,0,4.747022453,0,0,5.545177444
97,Pseudomonas aeruginosa,Ampicillin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9495250/,18,0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,opportunistic pathogen,n,24,37,soil,12.33417297,-1.033228263,349.412,0,0,4.747022453,0,0,5.545177444
98,Acinetobacter baumannii,Ampicillin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9495250/,18,0,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,pathogenic,n,24,37,urine,12.33417297,-1.033228263,349.412,0,0,4.747022453,0,0,2.772588722
99,Staphylococcus aureus,Ampicillin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9495250/,18,0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,pathogenic,p,24,37,skin,12.33417297,-1.033228263,349.412,0,0,4.747022453,0,0,5.545177444
100,Staphylococcus saprophyticus,Ampicillin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9495250/,18,0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,pathogenic,p,18,30,urine,12.33417297,-1.033228263,349.412,0,0,4.747022453,0,0,5.545177444
101,Staphylococcus epidermidis,Ampicillin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9495250/,18,0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,opportunistic pathogen,p,24,37,nose,12.33417297,-1.033228263,349.412,0,0,4.747022453,0,0,5.545177444
102,Escherichia coli,Kanamycin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9495250/,18,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,pathogenic,n,48,37,urine,10.93437059,-1.661604858,484.503,12.58005346,0,18.62843806,0,0,0.693147181
103,Klebsiella pneumoniae,Kanamycin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9495250/,18,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,opportunistic pathogen,n,24,30,respiratory tract,10.93437059,-1.661604858,484.503,12.58005346,0,18.62843806,0,0,0
104,Pseudomonas aeruginosa,Kanamycin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9495250/,18,0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,opportunistic pathogen,n,24,37,soil,10.93437059,-1.661604858,484.503,12.58005346,0,18.62843806,0,0,5.545177444
105,Acinetobacter baumannii,Kanamycin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9495250/,18,0,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,pathogenic,n,24,37,urine,10.93437059,-1.661604858,484.503,12.58005346,0,18.62843806,0,0,1.386294361
106,Staphylococcus aureus,Kanamycin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9495250/,18,0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,pathogenic,p,24,37,skin,10.93437059,-1.661604858,484.503,12.58005346,0,18.62843806,0,0,1.386294361
107,Staphylococcus saprophyticus,Kanamycin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9495250/,18,0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,pathogenic,p,18,30,urine,10.93437059,-1.661604858,484.503,12.58005346,0,18.62843806,0,0,-0.693147181
108,Escherichia coli,Ciprofloxacin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9495250/,18,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,pathogenic,n,48,37,urine,14.60768519,-1.27510223,331.347,0,0,43.80393424,0,0,-4.199705078
109,Klebsiella pneumoniae,Ciprofloxacin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9495250/,18,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,opportunistic pathogen,n,24,30,respiratory tract,14.60768519,-1.27510223,331.347,0,0,43.80393424,0,0,-1.386294361
110,Pseudomonas aeruginosa,Ciprofloxacin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9495250/,18,0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,opportunistic pathogen,n,24,37,soil,14.60768519,-1.27510223,331.347,0,0,43.80393424,0,0,-1.386294361
111,Acinetobacter baumannii,Ciprofloxacin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9495250/,18,0,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,pathogenic,n,24,37,urine,14.60768519,-1.27510223,331.347,0,0,43.80393424,0,0,-1.386294361
112,Staphylococcus aureus,Ciprofloxacin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9495250/,18,0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,pathogenic,p,24,37,skin,14.60768519,-1.27510223,331.347,0,0,43.80393424,0,0,-1.386294361
113,Staphylococcus saprophyticus,Ciprofloxacin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9495250/,18,0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,pathogenic,p,18,30,urine,14.60768519,-1.27510223,331.347,0,0,43.80393424,0,0,-1.386294361
114,Staphylococcus epidermidis,Ciprofloxacin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9495250/,18,0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,opportunistic pathogen,p,24,37,nose,14.60768519,-1.27510223,331.347,0,0,43.80393424,0,0,-1.386294361
115,Escherichia coli,Colistin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9495250/,18,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,pathogenic,n,48,37,urine,14.42691455,-1.637790428,2296.971,0,0,39.02066887,0,0,0.693147181
116,Pseudomonas aeruginosa,Colistin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9495250/,18,0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,opportunistic pathogen,n,24,37,soil,14.42691455,-1.637790428,2296.971,0,0,39.02066887,0,0,-0.693147181
117,Acinetobacter baumannii,Colistin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9495250/,18,0,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,pathogenic,n,24,37,urine,14.42691455,-1.637790428,2296.971,0,0,39.02066887,0,0,0
118,Staphylococcus aureus,Colistin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9495250/,18,0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,pathogenic,p,24,37,skin,14.42691455,-1.637790428,2296.971,0,0,39.02066887,0,0,5.545177444
119,Staphylococcus saprophyticus,Colistin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9495250/,18,0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,pathogenic,p,18,30,urine,14.42691455,-1.637790428,2296.971,0,0,39.02066887,0,0,4.158883083
120,Staphylococcus epidermidis,Colistin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9495250/,18,0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,opportunistic pathogen,p,24,37,nose,14.42691455,-1.637790428,2296.971,0,0,39.02066887,0,0,5.545177444
121,Escherichia coli,Gentamicin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,pathogenic,n,48,37,urine,11.12947795,-1.286897326,477.603,12.58005346,0,18.12552249,0,0,-1.386294361
122,Escherichia coli,Kanamycin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,pathogenic,n,48,37,urine,10.93437059,-1.661604858,484.503,12.58005346,0,18.62843806,0,0,0
123,Escherichia coli,Amoxicillin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,pathogenic,n,48,37,urine,12.3475389,-1.056554474,365.411,0,0,4.747022453,0,5.749511833,2.079441542
124,Escherichia coli,Ampicillin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,pathogenic,n,48,37,urine,12.33417297,-1.033228263,349.412,0,0,4.747022453,0,0,2.079441542
125,Escherichia coli,Ceftazidime,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,pathogenic,n,48,37,urine,13.11432809,-1.753218546,546.587,29.78168703,11.81435946,28.83875504,0,0,-2.079441542
126,Escherichia coli,Ceftriaxone,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,pathogenic,n,48,37,urine,12.91680492,-1.306214252,554.592,15.99967996,17.6943478,23.93344197,0,5.879988336,-2.813410717
127,Escherichia coli,Ciprofloxacin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,pathogenic,n,48,37,urine,14.60768519,-1.27510223,331.347,0,0,43.80393424,0,0,-4.199705078
128,Escherichia coli,Tetracycline,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,pathogenic,n,48,37,urine,13.31369504,-2.745033659,444.44,11.38429576,5.907179729,17.40891662,0,5.749511833,-0.693147181
129,Acinetobacter baumannii,Gentamicin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,1,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,pathogenic,n,24,37,urine,11.12947795,-1.286897326,477.603,12.58005346,0,18.12552249,0,0,5.545177444
130,Acinetobacter baumannii,Ceftazidime,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,1,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,pathogenic,n,24,37,urine,13.11432809,-1.753218546,546.587,29.78168703,11.81435946,28.83875504,0,0,6.238324625
131,Acinetobacter baumannii,Ciprofloxacin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,1,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,pathogenic,n,24,37,urine,14.60768519,-1.27510223,331.347,0,0,43.80393424,0,0,2.772588722
132,Acinetobacter baumannii,Tetracycline,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,0,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,pathogenic,n,24,37,urine,13.31369504,-2.745033659,444.44,11.38429576,5.907179729,17.40891662,0,5.749511833,1.386294361
133,Klebsiella aerogenes,Gentamicin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,opportunistic pathogen,n,24,30,water,11.12947795,-1.286897326,477.603,12.58005346,0,18.12552249,0,0,-1.386294361
134,Klebsiella aerogenes,Kanamycin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,1,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,opportunistic pathogen,n,24,30,water,10.93437059,-1.661604858,484.503,12.58005346,0,18.62843806,0,0,4.158883083
135,Klebsiella aerogenes,Amoxicillin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,1,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,opportunistic pathogen,n,24,30,water,12.3475389,-1.056554474,365.411,0,0,4.747022453,0,5.749511833,6.931471806
136,Klebsiella aerogenes,Ampicillin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,1,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,opportunistic pathogen,n,24,30,water,12.33417297,-1.033228263,349.412,0,0,4.747022453,0,0,4.852030264
137,Klebsiella aerogenes,Ceftazidime,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,opportunistic pathogen,n,24,30,water,13.11432809,-1.753218546,546.587,29.78168703,11.81435946,28.83875504,0,0,-4.199705078
138,Klebsiella aerogenes,Ceftriaxone,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,opportunistic pathogen,n,24,30,water,12.91680492,-1.306214252,554.592,15.99967996,17.6943478,23.93344197,0,5.879988336,-4.199705078
139,Klebsiella aerogenes,Ciprofloxacin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,opportunistic pathogen,n,24,30,water,14.60768519,-1.27510223,331.347,0,0,43.80393424,0,0,-4.199705078
140,Klebsiella aerogenes,Tetracycline,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,opportunistic pathogen,n,24,30,water,13.31369504,-2.745033659,444.44,11.38429576,5.907179729,17.40891662,0,5.749511833,-1.386294361
141,Pseudomonas aeruginosa,Gentamicin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,opportunistic pathogen,n,24,37,soil,11.12947795,-1.286897326,477.603,12.58005346,0,18.12552249,0,0,-2.079441542
142,Pseudomonas aeruginosa,Kanamycin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,1,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,opportunistic pathogen,n,24,37,soil,10.93437059,-1.661604858,484.503,12.58005346,0,18.62843806,0,0,6.238324625
143,Pseudomonas aeruginosa,Ceftazidime,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,opportunistic pathogen,n,24,37,soil,13.11432809,-1.753218546,546.587,29.78168703,11.81435946,28.83875504,0,0,-0.693147181
144,Pseudomonas aeruginosa,Ceftriaxone,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,opportunistic pathogen,n,24,37,soil,12.91680492,-1.306214252,554.592,15.99967996,17.6943478,23.93344197,0,5.879988336,2.772588722
145,Pseudomonas aeruginosa,Ciprofloxacin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,0,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,opportunistic pathogen,n,24,37,soil,14.60768519,-1.27510223,331.347,0,0,43.80393424,0,0,-3.506557897
146,Shigella sonnei,Gentamicin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,1,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,pathogenic,n,12,37,water,11.12947795,-1.286897326,477.603,12.58005346,0,18.12552249,0,0,-2.813410717
147,Shigella sonnei,Kanamycin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,1,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,pathogenic,n,12,37,water,10.93437059,-1.661604858,484.503,12.58005346,0,18.62843806,0,0,-0.693147181
148,Shigella sonnei,Ampicillin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,1,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,pathogenic,n,12,37,water,12.33417297,-1.033228263,349.412,0,0,4.747022453,0,0,5.545177444
149,Shigella sonnei,Ceftazidime,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,pathogenic,n,12,37,water,13.11432809,-1.753218546,546.587,29.78168703,11.81435946,28.83875504,0,0,0
150,Shigella sonnei,Ceftriaxone,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,pathogenic,n,12,37,water,12.91680492,-1.306214252,554.592,15.99967996,17.6943478,23.93344197,0,5.879988336,-0.693147181
151,Shigella sonnei,Ciprofloxacin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,pathogenic,n,12,37,water,14.60768519,-1.27510223,331.347,0,0,43.80393424,0,0,-4.199705078
152,Shigella sonnei,Tetracycline,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,pathogenic,n,12,37,water,13.31369504,-2.745033659,444.44,11.38429576,5.907179729,17.40891662,0,5.749511833,0.693147181
153,Salmonella typhimurium,Gentamicin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,1,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,pathogenic,n,6,37,meat,11.12947795,-1.286897326,477.603,12.58005346,0,18.12552249,0,0,-2.079441542
154,Salmonella typhimurium,Kanamycin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,1,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,pathogenic,n,6,37,meat,10.93437059,-1.661604858,484.503,12.58005346,0,18.62843806,0,0,-0.693147181
155,Salmonella typhimurium,Ampicillin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,pathogenic,n,6,37,meat,12.33417297,-1.033228263,349.412,0,0,4.747022453,0,0,1.386294361
156,Salmonella typhimurium,Ceftazidime,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,pathogenic,n,6,37,meat,13.11432809,-1.753218546,546.587,29.78168703,11.81435946,28.83875504,0,0,-3.506557897
157,Salmonella typhimurium,Ceftriaxone,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,pathogenic,n,6,37,meat,12.91680492,-1.306214252,554.592,15.99967996,17.6943478,23.93344197,0,5.879988336,0.693147181
158,Salmonella typhimurium,Ciprofloxacin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,pathogenic,n,6,37,meat,14.60768519,-1.27510223,331.347,0,0,43.80393424,0,0,-2.813410717
159,Salmonella typhimurium,Tetracycline,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,pathogenic,n,6,37,meat,13.31369504,-2.745033659,444.44,11.38429576,5.907179729,17.40891662,0,5.749511833,1.386294361
160,Staphylococcus aureus,Gentamicin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,pathogenic,p,24,37,skin,11.12947795,-1.286897326,477.603,12.58005346,0,18.12552249,0,0,-2.079441542
161,Staphylococcus aureus,Kanamycin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,pathogenic,p,24,37,skin,10.93437059,-1.661604858,484.503,12.58005346,0,18.62843806,0,0,0
162,Staphylococcus aureus,Ampicillin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,1,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,pathogenic,p,24,37,skin,12.33417297,-1.033228263,349.412,0,0,4.747022453,0,0,4.852030264
163,Staphylococcus aureus,Ceftazidime,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,pathogenic,p,24,37,skin,13.11432809,-1.753218546,546.587,29.78168703,11.81435946,28.83875504,0,0,-2.813410717
164,Staphylococcus aureus,Ceftriaxone,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,pathogenic,p,24,37,skin,12.91680492,-1.306214252,554.592,15.99967996,17.6943478,23.93344197,0,5.879988336,-2.079441542
165,Staphylococcus aureus,Ciprofloxacin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,pathogenic,p,24,37,skin,14.60768519,-1.27510223,331.347,0,0,43.80393424,0,0,-4.199705078
166,Staphylococcus aureus,Tetracycline,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,0,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,pathogenic,p,24,37,skin,13.31369504,-2.745033659,444.44,11.38429576,5.907179729,17.40891662,0,5.749511833,0.693147181
167,Streptococcus mutans,Ampicillin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,1,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,pathogenic,p,24,37,carious dentine,12.33417297,-1.033228263,349.412,0,0,4.747022453,0,0,4.158883083
168,Streptococcus mutans,Ceftazidime,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,1,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,pathogenic,p,24,37,carious dentine,13.11432809,-1.753218546,546.587,29.78168703,11.81435946,28.83875504,0,0,2.772588722
169,Streptococcus mutans,Ceftriaxone,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,0,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,pathogenic,p,24,37,carious dentine,12.91680492,-1.306214252,554.592,15.99967996,17.6943478,23.93344197,0,5.879988336,0.693147181
170,Streptococcus mutans,Tetracycline,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,0,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,pathogenic,p,24,37,carious dentine,13.31369504,-2.745033659,444.44,11.38429576,5.907179729,17.40891662,0,5.749511833,0
171,Escherichia coli,Gentamicin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,pathogenic,n,48,37,urine,11.12947795,-1.286897326,477.603,12.58005346,0,18.12552249,0,0,-1.386294361
172,Escherichia coli,Kanamycin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,pathogenic,n,48,37,urine,10.93437059,-1.661604858,484.503,12.58005346,0,18.62843806,0,0,0
173,Escherichia coli,Amoxicillin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,pathogenic,n,48,37,urine,12.3475389,-1.056554474,365.411,0,0,4.747022453,0,5.749511833,3.465735903
174,Escherichia coli,Ampicillin,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,pathogenic,n,48,37,urine,12.33417297,-1.033228263,349.412,0,0,4.747022453,0,0,2.772588722
175,Escherichia coli,Ceftazidime,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3826770/,20,0,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,pathogenic,n,48,37,urine,13.11432809,-1.753218546,546.587,29.78168703,11.81435946,28.83875504,0,0,-2.079441542
